company,specific_location,REF,review_date,cocoa_percentage,company_location,rating,bean_type,general_location,lon,lat
A. Morin,Agua Grande,1876,2016,63%,France,3.75, ,Sao Tome,6.7313031,0.3389242
A. Morin,Kpime,1676,2015,70%,France,2.75, ,Togo,1.0199765,8.7800265
A. Morin,Atsane,1676,2015,70%,France,3.0, ,Togo,1.0199765,8.7800265
A. Morin,Akata,1680,2015,70%,France,3.5, ,Togo,1.0199765,8.7800265
A. Morin,Quilla,1704,2015,70%,France,3.5, ,Peru,-75.0458515,-6.8699697
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela,-66.1109318,8.0018709
A. Morin,Cuba,1315,2014,70%,France,3.5, ,Cuba,-80.8328748,23.0131338
A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Criollo,Venezuela,-66.1109318,8.0018709
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela,-66.1109318,8.0018709
A. Morin,Pablino,1319,2014,70%,France,4.0, ,Peru,-75.0458515,-6.8699697
A. Morin,Panama,1011,2013,70%,France,2.75, ,Panama,-81.1308434,8.559559
A. Morin,Madagascar,1011,2013,70%,France,3.0,Criollo,Madagascar,46.4416422,-18.9249604
A. Morin,Brazil,1011,2013,70%,France,3.25, ,Brazil,-53.2,-10.3333333
A. Morin,Equateur,1011,2013,70%,France,3.75, ,Ecuador,-79.3666965,-1.3397668
A. Morin,Colombie,1015,2013,70%,France,2.75, ,Colombia,-72.9088133,4.099917
A. Morin,Birmanie,1015,2013,70%,France,3.0, ,Burma,95.9999652,17.1750495
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25, ,Papua New Guinea,144.2489081,-5.6816069
A. Morin,Chuao,1015,2013,70%,France,4.0,Trinitario,Venezuela,-66.1109318,8.0018709
A. Morin,Piura,1019,2013,70%,France,3.25, ,Peru,-75.0458515,-6.8699697
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5, ,Peru,-75.0458515,-6.8699697
A. Morin,Chanchamayo Province,1019,2013,63%,France,4.0, ,Peru,-75.0458515,-6.8699697
A. Morin,Bolivia,797,2012,70%,France,3.5, ,Bolivia,-64.9912286,-17.0568696
A. Morin,Peru,797,2012,63%,France,3.75, ,Peru,-75.0458515,-6.8699697
